gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
2382611065,5d283bb6-64dd-4626-8b3b-a4e8db5415c3,urn:catalog:EMEC:EMEC:554940,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus affinis,,SPECIES,"Bombus affinis Cresson, 1863",Bombus affinis,,US,Rochester,Minnesota,,1,0dc9c7a0-b5c6-11d9-a0b8-b8a03c50a862,44.02139,-92.46972,10000,,,,,,5/26/1997 0:00,26,5,1997,1340481,1340481,PRESERVED_SPECIMEN,EMEC,EMEC,EMEC554940,,,,CC_BY_4_0,,W. E. Wallskog,,,7/1/2020 16:04,,
2366143483,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/31263309,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus affinis,,SPECIES,"Bombus affinis Cresson, 1863",Bombus affinis,,US,,Illinois,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,42.328238,-89.018843,27661,,,,,,8/21/2019 9:14,21,8,2019,1340481,1340481,HUMAN_OBSERVATION,iNaturalist,Observations,31263309,,neylon,8/22/2019 0:25,CC_BY_NC_4_0,neylon,neylon,,,7/1/2020 23:42,StillImage,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2366125620,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/31197933,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus affinis,,SPECIES,"Bombus affinis Cresson, 1863",Bombus affinis,,US,,Iowa,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,41.796947,-91.461301,27754,,,,,,8/19/2019 0:00,19,8,2019,1340481,1340481,HUMAN_OBSERVATION,iNaturalist,Observations,31197933,,Kristin Lee,8/20/2019 20:55,CC_BY_NC_4_0,Kristin Lee,Kristin Lee,,,7/1/2020 23:40,StillImage,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2366123691,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/31197855,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus affinis,,SPECIES,"Bombus affinis Cresson, 1863",Bombus affinis,,US,,Iowa,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,41.615437,-91.501737,27754,,,,,,8/19/2019 0:00,19,8,2019,1340481,1340481,HUMAN_OBSERVATION,iNaturalist,Observations,31197855,,Kristin Lee,8/20/2019 20:53,CC_BY_NC_4_0,Kristin Lee,Kristin Lee,,,7/1/2020 23:42,StillImage,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2366110739,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/31151821,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus affinis,,SPECIES,"Bombus affinis Cresson, 1863",Bombus affinis,,US,,Iowa,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,41.72797,-91.435672,27754,,,,,,8/19/2019 12:32,19,8,2019,1340481,1340481,HUMAN_OBSERVATION,iNaturalist,Observations,31151821,,Kristin Lee,8/20/2019 1:12,CC_BY_NC_4_0,Kristin Lee,Kristin Lee,,,7/1/2020 23:40,StillImage,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2366108260,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/31143532,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus affinis,,SPECIES,"Bombus affinis Cresson, 1863",Bombus affinis,,US,,Illinois,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,42.222905,-89.026161,27661,,,,,,8/19/2019 16:59,19,8,2019,1340481,1340481,HUMAN_OBSERVATION,iNaturalist,Observations,31143532,,neylon,8/19/2019 22:09,CC_BY_NC_4_0,neylon,neylon,,,7/1/2020 23:42,StillImage,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2366043612,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/30909535,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus affinis,,SPECIES,"Bombus affinis Cresson, 1863",Bombus affinis,,US,,Minnesota,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,44.897326,-93.261822,27253,,,,,,8/15/2019 15:49,15,8,2019,1340481,1340481,HUMAN_OBSERVATION,iNaturalist,Observations,30909535,,Catherine Grant,8/16/2019 1:38,CC_BY_NC_4_0,Catherine Grant,Catherine Grant,,,7/1/2020 23:42,StillImage,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2350422977,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/30793033,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus affinis,,SPECIES,"Bombus affinis Cresson, 1863",Bombus affinis,,US,,Iowa,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,41.961646,-91.623139,27723,,,,,,8/13/2019 13:23,13,8,2019,1340481,1340481,HUMAN_OBSERVATION,iNaturalist,Observations,30793033,,ruficauda,8/14/2019 3:31,CC_BY_NC_4_0,ruficauda,ruficauda,,,7/1/2020 23:40,StillImage,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2350379497,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/30653724,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus affinis,,SPECIES,"Bombus affinis Cresson, 1863",Bombus affinis,,US,,Illinois,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,42.353009,-88.28683,27661,,,,,,8/11/2019 15:21,11,8,2019,1340481,1340481,HUMAN_OBSERVATION,iNaturalist,Observations,30653724,,tinytrillium,8/12/2019 0:04,CC_BY_NC_4_0,tinytrillium,tinytrillium,,,7/1/2020 23:40,StillImage,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2350363678,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/30562665,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus affinis,,SPECIES,"Bombus affinis Cresson, 1863",Bombus affinis,,US,,Minnesota,,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,44.838173,-93.133989,27253,,,,,,8/10/2019 15:01,10,8,2019,1340481,1340481,HUMAN_OBSERVATION,iNaturalist,Observations,30562665,,kwaits,8/10/2019 20:04,CC_BY_NC_4_0,kwaits,kwaits,,,7/1/2020 23:42,StillImage,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
